NAVID;Français
1;Médian
2;Sagittal
3;Transversal
4;Médial
5;Intermédiaire
6;Latéral
7;Crânial
8;Moyen
9;Caudal
10;Antérieur
11;Rostral
12;Postérieur
13;Dorsal
14;Ventral
15;Supérieur
16;Inférieur
17;Interne
18;Externe
19;Droite
20;Gauche
21;Longitudinal
22;Transverse
23;Superficiel
24;Profond
25;Termes relatifs aux membres
26;Proximal
27;Distal
28;Axial
29;Abaxial
30;Palmaire
31;Plantaire
32;Termes généraux
33;Abducens
34;Abducteur
35;Anormal
36;Accessoire
37;Acinus
38;Acropode
39;Aigu
40;Adducteur
41;Adipeux
42;Adventice
43;Afférent
44;Attaché à
45;Agrégat
46;Albicans
47;Albuginé
48;Blanc
49;Alimentaire
50;Ambigu
51;Ampullaire
52;Amygdale
53;Anatomie
54;Ancón
55;Angle
56;Ansa
57;Annulaire
58;Apical
59;Aqueux
60;Arqué
61;Aréole
62;Arrecteur
63;Artériole
64;Aryténoïde
65;Ascendant
66;Asper
67;Associé
68;Auditus
69;Autonome
70;Autopodium
71;Azygos
72;Basal
73;Basilaire
74;Basipode
75;Bicorne
76;Branchies
77;Court
78;Buccin
79;Ampoule
80;Bourse
81;Calleux
82;Calx;Calx;Calx, calcis;
83;Canal
84;Canalicule
85;Capillaire
86;Capital
87;Capitat
88;Cardia
89;Cardiaque
90;Caroncle
91;Carnéus
92;Caverneux
93;Creux
94;Aveugle
95;Céliaque
96;Central
97;Céphalique
98;Céruléen
99;Chroma
100;Chylus
101;Cil
102;Grisâtre
103;Circonflexe
104;Clinoïde
105;Fesse
106;Coccyx
107;Collatéral
108;Cornes
109;Communication
110;Commun
111;Compact
112;Conque
113;Condyle
114;Conjugaison
115;Conjonctif
116;Constricteur
117;Corniculé
118;Corne (Partie du corps)
119;Hanche
120;Épais
121;Criblé
122;Cricoïde
123;Crête
124;Croisé
125;Décidual
126;Déférent
127;Delta
128;Denticulé
129;Dépresseur
130;Descendant
131;Digastrique
132;Digital
133;Dilatateur
134;Diverticule
135;Conduit
136;Dur
137;Efférent
138;Éjaculateur
139;Élastique
140;Ellipsoïde
141;Embryon
142;Éminence
143;Émissaire
144;Endothélium
145;Épigastre
146;Équin
147;Érecteur
148;Dépression
149;Extenseur
150;Extrémité
151;Fel
152;Fœtus
153;Fibre
154;Fibulaire
155;Filament
156;Fissure
157;Jaune
158;Fléchisseur
159;Courbure
160;Foramen
161;Fosse
162;Fossette
163;Frontal
164;Fond
165;Fuscus
166;Fusiforme
167;Gélatineux
168;Genèse
169;Génital
170;Globe
171;Glomérule
172;Fessier
173;Gracile
174;Granulation
175;Gris
176;Gyrus
177;Hamatus
178;Hyalin
179;Hyoïde
180;Hypogastre
181;Hypoglosse
182;Ilia
183;Iliaque
184;Impair
185;Impression
186;Imus
187;Incisure
188;Incision
189;Infundibulum
190;Interstitiel
191;Intime
192;Entrée
193;Ischiatique
194;Ischion
195;Isthme
196;Lèvre
197;Lait
198;Déchiré
199;Lacrymal
200;Lacune
201;Lame
202;Latissimus
203;Élévateur
204;Libre
205;Ligamentaire
206;Limbe
207;Limitant
208;Ligne
209;Long
210;Lucidus
211;Lombrical
212;Lunatus
213;Lutéus
214;Lymphonoeud
215;Grand
216;Majeur
217;Mamelle
218;Margo
219;Masticateur
220;Mastoïdien
221;Mère
222;Matrice
223;Mésothélium
224;Métapode
225;Méat
226;Mineur
227;Mitra
228;Mola
229;Moléculaire
230;Mou
231;Moteur
232;Muqueux
233;Multifide
234;Naviculaire
235;Nephros
236;Neurone
237;Noir
238;Nom
239;Nucléole
240;Nourricier
241;Oblique
242;Obturateur
243;Obtus
244;Occipital
245;Olfactif
246;Ophtalmique
247;Orbiculaire
248;Organique
249;Os
250;Ostium
251;Otique
252;Oeuf 
253;Pallidus
254;Pampiniforme
255;Mamelon
256;Paraganglion
257;Parasympathique
258;Parotide
259;Partie
260;Petit
261;Pédale
262;Perforé
263;Périphérie
264;Permanent
265;Perpendiculaire
266;Péronée
267;Pétra
268;Phallus
269;Pigment
270;Pinée
271;Piriforme
272;Pisiforme
273;Pituitaire
274;Plan
275;Pneumatique
276;Porte
277;Première
278;Prisme
279;Processus
280;Pronateur
281;Propre
282;Ptérygoïdien
283;Poils pubiens
284;Honteux
285;Pulpeux
286;Pyramide
287;Carré
288;Quadriceps
289;Radial
290;Racine
291;Branche
292;Récessus
293;Droit
294;Récurrent
295;Réflexe
296;Région
297;Rénal
298;Respiration
299;Réseau 
300;Rétinaculum
301;Rétroflexe
302;Rhomboïde
303;Rond
304;Rouge
305;Rudimentaire
307;Sac
308;Salive
309;Scalène
310;Sébacé
311;Sébum
312;Secret
313;Sperme [Semen]
314;Sens
315;Septum
316;Dentelé
317;Sérum
318;Sésamoïde
319;Sigmoïde
320;Simple
321;Sinus
322;Solitaire
323;Espace
324;Sperme
325;Os sphénoïde
326;Sphéroïde
327;Sphincter
328;Épine
329;Spiral
330;Splanchnique
331;Spongieux
332;Squameux
333;Statut
334;Stellatus
335;Strate
336;Strié
337;Stylopodium
338;Style
339;Sueur
340;Sillon
341;Supinateur
342;Supinus
343;Suspendu
344;Sympathique
345;Synchondrosis
346;Tactile
347;Tectorius
348;Tempe
349;Ténia
350;Tenseur
351;Mince
352;Teres
353;Terminal
354;Théque
355;Thorax
356;Tibial
357;Tonsille
358;Tractus
359;Trigone
360;Trochanter
361;Tronc
362;Tube
363;Tubérosité (Tuber)
364;Tubercule
365;Tubérosité (Tuberositas)
366;Tunique
367;Tympanique
368;Ulnaire
369;Unciné
370;Urine
371;Gaine tendineuse
372;Vague
373;Valve
374;Vasculaire
375;Vaste
376;Voile
377;Estomac
378;Vésical
379;Vestibulaire
380;Vestigium
381;Viscère
382;Vue
383;Jaune d'œuf
384;Vitré
385;Vocal
386;Vorticosus
387;Xiphoïde
388;Zeugopodium
389;Zone
390;Zygomatique
