English;Synonyms;Latin;Synonyma;Français;Synonymes;Español;;Portugues;
Median;;Medianus;;Médian;;Mediana;;Mediana;
Sagittal;;Sagittalis;;Sagittal;;Sagital;;Sagital;
Transversal;;Transversalis;;Transversal;;Transversal;;Transversal;
Medial;;Medialis;;Médial;;Medial;;Medial;
Intermediate;%Middle;Intermedius;;Intermédiaire;%Moyen;Intermedio;;Intermediário;
Lateral;;Lateralis;;Latéral;;Lateral;;Lateral;
Cranial;;Cranialis;;Crânial;;Craneal;;Craniano;
Middle;;Medius;;Moyen;;Medio;;Meio;
Caudal;;Caudalis;;Caudal;;Caudal;;Caudal;
Anterior;%Ventral;Anterior;;Antérieur;%Ventral;Anterior;;Anterior;
Rostral;%Anterior;Rostralis;;Rostral;Rostral;Rostral;;Rostral;
Posterior;%Dorsal;Posterior;;Postérieur;%Dorsal;Posterior;;Posterior;
Dorsal;;dorsalis;;Dorsal;;Dorsal;;Dorsal;
Ventral;;Ventralis;;Ventral;;Ventral;;Ventral;
Superior;%Cranial;Superior;;Supérieur;%Cranial;Superior;;Superior;
Inferior;%Caudal;Inferior;;Inférieur;%Caudal;Inferior;;Inferior;
Internal;%Medial;Internus;;Interne;%Médial;Interno;;Interno;
External;%Lateral;Externus;;Externe;%Latéral;Externo;;Externo;
Right;;Dexter;;Droite;;Derecho;;Direito;
Left;;Sinister;;Gauche;;Izquierdo;;Esquerdo;
Longitudinal;;Longitudinalis;;Longitudinal;;Longitudinal;;Longitudinal;
Transverse;%Transversal;Transversus;%Transversalis;Transverse;%Transversal;Transverso;;Transverso;
Superficial;;Superficialis;;Superficiel;;Superficial;;Superficial;
Deep;;Profundus;;Profond;;Profundo;;Profundo;
Terms for the limbs;;Termini ad membra spectantes;;Termes relatifs aux membres;;Términos para los miembros;;Termos relativos aos membros;
Proximal;;Proximalis;;Proximal;;Proximal;;Proximal;
Distal;;Distalis;;Distal;;Distal;;Distal;
Axial;;Axialis;;Axial;;Axial;;Axial;
Abaxial;;Abaxialis;;Abaxial;;Abaxial;;Abaxial;
Palmar;;Palmaris;;Palmaire;;Palmar;;Plalmar;
Plantar;;Plantaris;;Plantaire;;Plantar;;Plantar;
General terms;;Termini generales;;Termes généraux;;Términos generales;;Termos gerais;
Abducens;;Abducens;;Abducens;;Abducens;;Retirando;
Abductor;;Abductor;;Abducteur;;Abductor;;Abdutor;
Aberrant;;Aberrans;;Anormal;;Aberrante;;Vagando;
Accessory;;Accessorius;;Accessoire;;Accesorio;;Acessório;
Acinus;;Acinus;;Acinus;;Acino;;Bolota;
Acropodium;;Acropodium;;Acropode;;Acropodio;;Acrópode;
Acute;;Acutus;;Aigu;;Agudo;;Afiado;
Adductor;;Adductor;;Adducteur;;Aductor;;Adutor;
Adipose;;Adepem;;Adipeux;%Graisseux;Gordo;;Gordo;
Adventitious;;Adventitius;;Adventice;;Adventicio;;Adventista;
Afferent;;Afferens;;Afférent;;Aferente;;Trazendo;
Attached to;;Affixus;;Attaché à;;Adjunto a;;Apegado;
Aggregate;;Aggregatus;;Agrégat;;Agregado;;Agregar;
Albicans;;Albicans;;Albicans;;Albicans;;Branco;
Albugineous;;Albugineus;;Albuginé;;Albugíneo;;Albigense;
White;;Albus;;Blanc;;Blanco;;Branco;
Alimentary;;Alimentarius;;Alimentaire;;Alimentario;;Alimento;
Ambiguous;;Ambiguus;;Ambigu;;Ambiguo;;Ambíguo;
Ampulla;;Ampullaris;;Ampullaire;;Ampular;;Ampular;
Amygdala;;Amygdala;;Amygdale;;Amígdala;;Amêndoa;
Anatomy;;Anatomia;;Anatomie;;Anatomía;;Anatomia;
Ancon;;Ancon;;Ancón;;Ancón;;Ancona;
Angle;;Angulus;;Angle;;Ángulo;;Canto;
Ansa;;Ansa;;Ansa;;Ansa;;Lidar;
Ring;;Anulus;;Annulaire;;Anular;;Anel;
Apical;;Apicalis;;Apical;;Apical;;Apical;
Aqueous;;Aquosus;;Aqueux;;Acuoso;;Aquoso;
Arcuate;;Arcuatus;;Arqué;;Arcato;;Arqueado;
Areola;;Areola mammae;;Aréole;;Areola;;Aréola da mama;
Arrector;;Arrector;;Arrecteur;;Arrector;;Detentor;
Arteriole;;Arteriola;;Artériole;;Arteriola;;Arteríola;
Arytena;;Arytena;;Aryténoïde;;Aritenoide;;Arytena;
Ascending;;Ascendens;;Ascendant;;Ascendente;;Ascendente;
Asper;;Asper;;Asper;;Asper;;Duro;
Associate;;Associus;;Associé;;Asociado;;Associado;
Auditus;;Auditus;;Auditus;;Auditus;;Audição;
Autonomic;;Autonomicus;;Autonome;;Autónomo;;Autônomo;
Autopodium;;Autopodium;;Autopode;;Autopodio;;Autopódio;
Azygos;;Azygos;;Azygos;;Azygos;;ÁZigos;
Basal;;Basalis;;Basal;;Basal;;Basal;
Basilaris;;Basilaris;;Basilaire;;Basilar;;Basilar;
Basipodium;;Basipodium;;Basipode;;Basipodio;;Basipódio;
Bicornis;;Bicornis;;Bicorne;;Bicornios;;Dois chifres;
Branchia;;Branchia;;Branchies;;Branquia;;Gill;
Brevis;;Brevis;;Court;;Atajo;;Curto;
Bucin;;Buccina;;Buccin;;Bocina;;Buzina;
Bulb;;Bulbus;;Ampoule;;Bulbo;;Bulbo;
Bursa;;Bursa;;Bourse;;Bolsa;;Intercâmbio;
Callosus;;Callosus;;Calleux;;Calloso;;Insensível;
Calx;;Calx, calcis;;Calx;;Calx;;Limão, limão;
Canal;;Canalis;;Canal;;Canal;;Canal;
Canaliculus;;Canaliculus;;Canalicule;;Canalículo;;Pequeno canal;
Capillaris;;Capillaris;;Capillaire;;Capilar;;Cabeleireiro;
Capital;;Capitalis;;Capital;;Capital;;Capital;
Capitatus;;Capitatus;;Capitat;;Capitado;;Capital;
Cardia;%Cardiac part%Cardial part;Cardia;%Pars cardialis gastris%Pars cardiaca gastris;Cardia;;Cardia;;Corações;
Cardiacus;;Cardiacus;;Cardiaque;;Cardiaco;;Cardíaco;
Caruncle;;Caruncula;;Caroncle;;Carúncula;;Carúncula;
Carneus;;Carneus;;Carnéus;;Carneo;;Carnívoro;
Cavernous;;Cavernosus;;Caverneux;;Cavernoso;;Cavernoso;
Cavus;;Cavus;;Creux;;Cavo;;Oco;
Blind;;Cecus;;Aveugle;;Ciego;;Cego;
Celiacus;;Coeliacus;;Céliaque;;Celíaco;;Doença celíaca;
Central;;Centralis;;Central;;Central;;Central;
Cephalic;;Cephalicus;;Céphalique;;Cefálico;;Cefálico;
Ceruleus;;Ceruleus;;Céruléen;%Bleu;Ceruleo;;Azul;
Chroma;;Chroma;;Chroma;;Croma;;Cor;
Chylus;;Chylus;;Chylus;;Quilo;;Quilo;
Cilium;;Cilium;;Cil;;Cilio;;Pestana;
Greyish;;Cinereus;;Grisâtre;;Cinzento;;Cinza;
Circumflexus;;Circumflexus;;Circonflexe;;Circunflejo;;Circunflexo;
Clinoid;;Clinoideus;;Clinoïde;;Clinoides;;Clinoide;
Buttock;;Clunis;;Fesse;;Nalgas;;Clitóris;
Coccyx;%Coccygeal bone;Os coccygis;%Coccyx%Vertebrae coccygeae%Vertebrae coccygeae I-IV%Vertebrae Co1-Co4%Vertebrae coccygicae%Vertebrae caudales;Coccyx;%Vertèbres coccygiennes%Vertèbres coccygiennes I-V%Vertèbres Co1-Co4%Vertèbres caudales;Cóccix;;Osso do cóccix;
Collateral;;Collateralis;;Collatéral;;Colateral;;Garantia;
Horns;;Cornua;;Cornes;;Cuernos;;Chifres;
Communication;;Communicatio;;Communication;;Comunicación;;Comunicação;
Common;;Communis;;Commun;;Común;;Comum;
Compactus;;Compactus;;Compact;;Compacto;;Compactar;
Concha;;Concha;;Conque;;Concha;;Concha;
Condyle;;Condylus;;Condyle;;Cóndilo;;Côndilo;
Conjugation;;Conjugatio;;Conjugaison;;Conjugación;;Conjugação;
Conjunctive;;Conjunctivus;;Conjonctif;;Conjuntivo;;Conjuntivo;
