TA2ID;English
1;General terms
2;Vertical
3;Horizontal
4;Median
5;Coronal
6;Sagittal
7;Right
8;Left
9;Intermediate
10;Medial
11;Lateral
12;Anterior
13;Posterior
14;Ventral
15;Dorsal
16;Frontal
17;Occipital
18;Superior
19;Inferior
20;Cranial
21;Caudal
22;Rostral
23;Apical
24;Basal
25;Middle
26;Transverse
27;Longitudinal
28;Axial
29;External
30;Internal
31;Luminal
32;Superficial
33;Deep
34;Proximal
35;Distal
36;Central
37;Peripheral
38;Radial
39;Ulnar
40;Fibular
41;Tibial
42;Palmar
43;Plantar
44;Flexor
45;Extensor
46;Reference planes
47;Longitudinal planes
48;Coronal planes
49;Sagittal planes
50;Median plane
51;Paramedian plane
52;Transverse planes
53;Transpyloric plane
54;Subcostal plane
55;Transumbilical plane
56;Supracristal plane
57;Intertubercular plane
58;Interspinous plane
59;Reference lines
60;Anterior median line
61;Sternal line
62;Parasternal line
63;Midclavicular line
64;Mamillary line
65;Anterior axillary line
66;Midaxillary line
67;Posterior axillary line
68;Scapular line
69;Paravertebral line
70;Posterior median line
71;Human body positions
72;Anatomical position
73;Comparative anatomical position
74;Prone position
75;Supine position
76;Movements
77;Abduction
78;Adduction
79;Lateral rotation
80;Medial rotation
81;Circumduction
82;Flexion
83;Extension
84;Pronation
85;Supination
86;Opposition
87;Reposition
88;Plantar flexion
89;Dorsiflexion
90;Elevation
91;Depression
92;Eversion
93;Inversion
94;Protraction
95;Retraction
96;Human body
97;Parts of human body
98;Head
99;Neurocranial part of head
100;Cranial cavity
101;Forehead
102;Occiput
103;Temple
104;Auricle
105;Lobule of auricle
106;Helix
107;Crus of helix
108;Antihelix
109;Crura of antihelix
110;Antitragus
111;Tragus
112;Face
113;Eye (part of head)
114;Upper eyelid
115;Lower eyelid
116;Cheek
117;External nose
118;Ala of nose
119;Mouth
120;Upper lip
121;Lower lip
122;Chin
123;Neck
124;Trunk
125;Thorax
126;Thoracic cavity
127;Abdomen
128;Abdominal cavity
129;Pelvis
130;Pelvic cavity
131;Perineum
132;Anterior trunk
133;Anterolateral thoracic wall
134;Anterolateral abdominal wall
135;Back
136;Back of thorax
137;Back of abdomen
138;Upper limb
139;Shoulder
140;Axilla
141;Anterior axillary fold
142;Posterior axillary fold
143;Free part of upper limb
144;Arm
145;Elbow
146;Forearm
147;Wrist
148;Hand
149;Metacarpus
150;Digits of hand
151;Thumb
152;Index finger
153;Middle finger
154;Ring finger
155;Little finger
156;Lower limb
157;Buttock
158;Hip
159;Free part of lower limb
160;Thigh
161;Knee
162;Posterior part of knee
163;Leg
164;Calf
165;Ankle
166;Foot
167;Heel
168;Midfoot
169;Metatarsus
170;Digits of foot
171;Great toe
172;Second toe
173;Third toe
174;Fourth toe
175;Little toe
176;Regions of human body
177;Regions of head
178;Regions of epicranium
179;Vertex
180;Frontal region
181;Eyebrow
182;Parietal region
183;Occipital region
184;Temporal region
185;Mastoid region
186;Auricular region
187;Triangular fossa
188;Scapha
189;Concha of auricle
190;Cymba conchae
191;Cavity of concha
192;Anterior notch of auricle
193;Intertragic incisure
194;Auricular tubercle
195;Apex of auricle
196;Posterior auricular groove
197;(Supratragic tubercle)
198;Fossa antihelica
199;Eminentia conchae
200;Eminentia scaphae
201;Eminentia fossae triangularis
202;Regions of face
203;Orbital region
204;Suprapalpebral sulcus
205;Palpebral fissure
206;Lateral palpebral commissure
207;Medial palpebral commissure
208;Lateral angle of eye
209;Medial angle of eye
210;Infrapalpebral sulcus
211;Palpebronasal fold
212;Infra-orbital region
213;Buccal region
214;Parotideomasseteric region
215;Zygomatic region
216;Nasal region
217;Root of nose
218;Dorsum of nose
219;Apex of nose
220;Nasolabial sulcus
221;Oral region
222;Philtrum
223;Tubercle of upper lip
224;Labial commissure
225;Angle of mouth
226;Mentolabial sulcus
227;Mental region
228;Regions of neck
229;Anterior region of neck
230;Anterior triangle of neck
231;Suprahyoid region
232;Submandibular triangle
233;Submental triangle
234;Infrahyoid region
235;Carotid triangle
236;Muscular triangle
237;Sternocleidomastoid region
238;Lesser supraclavicular fossa
239;Lateral region of neck
240;Greater supraclavicular fossa
241;Omoclavicular triangle
242;Occipital triangle
243;Posterior region of neck
244;Regions of thorax
245;Anterior region of thorax
246;Precordium
247;Presternal region
248;Infraclavicular fossa
249;Deltopectoral triangle
250;Deltopectoral groove
251;Pectoral region
252;Mammary region
253;Inframammary region
254;Lateral region of thorax
255;Regions of abdomen
256;Hypochondriac region
257;Epigastric region
258;Epigastric fossa
259;Lateral region of abdomen
260;Umbilical region
261;Umbilicus
262;Inguinal region
263;Hypogastric region
264;Regions of back
265;Vertebral region
266;Scapular region
267;Triangle of auscultation
268;Infrascapular region
269;Lumbar region
270;Lumbar triangle
271;Superior lumbar triangle
272;Sacral region
273;Sacro-iliac dimple
274;Coccygeal region
275;(Coccygeal foveola)
276;Regions of perineum
277;Anal region
278;Anal triangle
279;Urogenital region
280;Regions of upper limb
281;Axillary region
282;Axillary fossa
283;Deltoid region
284;Brachial region
285;Anterior region of arm
286;Lateral bicipital groove
287;Medial bicipital groove
288;Posterior region of arm
289;Cubital region
290;Anterior region of elbow
291;Cubital fossa
292;Posterior region of elbow
293;Antebrachial region
294;Anterior region of forearm
295;Posterior region of forearm
296;Lateral border of forearm
297;Medial border of forearm
298;Carpal region
299;Anterior region of wrist
300;Posterior region of wrist
301;Radial foveola
302;Regions of hand
303;Metacarpal region
304;Dorsum of hand
305;Palm
306;Thenar eminence
307;Hypothenar eminence
308;Regions of digits of hand
309;Palmar surfaces of digits of hand
310;Dorsal surfaces of digits of hand
311;Interdigital spaces of hand
312;Regions of lower limb
313;Gluteal region
314;Intergluteal cleft
315;Gluteal fold
316;Hip region
317;Femoral region
318;Anterior region of thigh
319;Femoral triangle
320;Posterior region of thigh
321;Knee region
322;Anterior region of knee
323;Posterior region of knee
324;Popliteal fossa
325;Leg region
326;Anterior region of leg
327;Posterior region of leg
328;Sural region
329;Talocrural region
330;Anterior region of ankle
331;Posterior region of ankle
332;Lateral retromalleolar region
333;Medial retromalleolar region
334;Regions of foot
335;Heel region
336;Dorsum of foot
337;Sole
338;Longitudinal arch of foot
339;Lateral part of longitudinal arch of foot
340;Medial part of longitudinal arch of foot
341;Proximal transverse arch of foot
342;Distal transverse arch of foot
343;Lateral border of foot
344;Medial border of foot
345;Metatarsal region
346;Hallucial eminence
347;Regions of digits of foot
348;Plantar surfaces of digits of foot
349;Dorsal surfaces of digits of foot
350;Interdigital spaces of foot
351;Musculoskeletal systems
352;Skeletal system
353;Axial skeleton
